id,affected_count,total_amount,naic_sector,naic_national_industry,sector,breach_date,cause
1905,10868,764054,31,311351,Manufacturing,2013-06-13,External - Terrorist
1906,225,125906,56,561440,Administrative,2013-12-10,External - Criminal Organization
1907,0,0,52,522110,Financial,2019-01-20,Internal - Trusted Third Party (TTP)
1908,983,71955,51,511110,Information,2014-11-27,External - Criminal Organization
1909,1944,7005,54,541512,Professional,2018-03-22,External - Former Consultant
1910,26,14386129,42,423690,Trade,2014-04-09,External - Hacktivist
1911,23,1669,62,622110,Healthcare,2020-04-02,External - Criminal Organization
1912,0,0,23,237990,Construction,2020-09-27,Internal - Trusted Third Party (TTP)
1913,969,7656055,62,622110,Healthcare,2013-02-06,Internal - Consultant
1914,5,20332,51,517919,Information,2012-09-11,Internal - Organization
1915,14,949222,31,314999,Manufacturing,2019-02-22,NA
1916,239,134028,56,561110,Administrative,2019-08-20,External - Other
1917,2773249,1329590,54,541211,Professional,2019-03-13,Internal - Other
1918,31,125103,52,523120,Financial,2012-12-06,NA
1919,9,806831,56,561990,Administrative,2015-08-07,Internal - Employee
1920,4,2245,62,621111,Healthcare,2020-01-23,External - Vendor
1921,26,486035,54,541110,Professional,2020-04-20,External - Former Employee
1922,599,3116120,42,423610,Trade,2015-08-14,Internal - Trusted Third Party (TTP)
1923,461,7612,33,334220,Manufacturing,2014-10-20,Internal - Consultant
1924,249,2004304,55,551111,Management,2011-07-31,Internal - Other
1925,15,237557,52,525990,Financial,2020-12-13,External - Former Consultant
1926,1384,99587,61,611699,Education,2015-01-12,External - Terrorist
1927,53,13762,44,447190,Retail,2014-08-10,External - Terrorist
1928,0,0,52,522320,Financial,2012-03-11,External - Former Consultant
1929,0,0,51,517919,Information,2012-10-09,Internal - Trusted Third Party (TTP)
1930,780,1629780,81,813930,Other,2019-12-03,External - Former Consultant
1931,1,3062,51,518210,Information,2019-09-05,External - Vendor
1932,3,13810,56,561599,Administrative,2017-06-04,External - Hacktivist
1933,0,0,53,531210,Real Estate,2013-11-30,External - Terrorist
1934,71,3483394,56,561440,Administrative,2012-07-28,External - Terrorist
1935,95,175,62,623110,Healthcare,2013-04-12,External - Other
1936,340,38005,54,541611,Professional,2019-05-21,Internal - Employee
1937,687,8217,72,722513,Hospitality,2019-08-31,Internal - Other
1938,1,55430,61,611310,Education,2013-11-30,External - Hacktivist
1939,0,0,45,453998,Retail,2017-09-24,Internal - Trusted Third Party (TTP)
1940,181,82944,92,926110,Public,2012-05-04,External - Former Consultant
1941,42,5636,22,221310,Utilities,2020-08-29,External - Other
1942,448,98485,81,813940,Other,2019-10-29,External - Former Employee
1943,4,7455,54,541511,Professional,2017-03-04,External - Vendor
1944,107,49571,52,524291,Financial,2018-04-30,Internal - Employee
1945,901,248885,92,928110,Public,2017-11-26,External - Former Employee
1946,6,26423314,92,923120,Public,2015-05-03,Internal - Consultant
1947,2,1457152,23,238990,Construction,2020-01-03,NA
1948,1011,150863,62,621112,Healthcare,2017-01-15,External - Former Consultant
1949,2430,264495,48,484110,Transportation,2019-10-02,Internal - Other
1950,2,171,45,453998,Retail,2012-12-12,External - Vendor
1951,76,187283,52,525110,Financial,2018-03-23,Internal - Consultant
1952,3425,105442,56,561990,Administrative,2020-01-24,External - Hacktivist
1953,24,3723,52,522390,Financial,2011-10-14,External - Criminal Organization
1954,6234,1086980,33,334210,Manufacturing,2016-02-23,Internal - Consultant
1955,4,33907,51,519130,Information,2019-06-23,External - Terrorist
1956,1,21845,56,561440,Administrative,2020-03-02,External - Vendor
1957,1860,1023360,62,621111,Healthcare,2016-03-24,External - Vendor
1958,0,0,44,447190,Retail,2013-04-11,NA
1959,0,0,51,511210,Information,2020-06-23,External - Criminal Organization
1960,2601,27535,56,561990,Administrative,2015-08-30,External - Nation State
1961,192,9393,62,622110,Healthcare,2015-01-23,External - Terrorist
1962,3605,31548,56,561990,Administrative,2019-10-19,External - Criminal Organization
1963,689,2236959,54,541512,Professional,2013-06-28,External - Vendor
1964,16355,72039,56,561440,Administrative,2017-06-09,External - Terrorist
1965,739,6399,51,511210,Information,2015-06-20,External - Hacktivist
1966,51,621579,61,611110,Education,2019-01-25,Internal - Other
1967,1,142611,52,522292,Financial,2014-08-23,External - Former Employee
1968,133,67599,54,541715,Professional,2012-02-09,External - Hacktivist
1969,509,296184,61,611310,Education,2015-03-27,External - Nation State
1970,3,485673,62,623110,Healthcare,2011-05-07,Internal - Trusted Third Party (TTP)
1971,31,487306,62,622110,Healthcare,2020-12-09,Internal - Trusted Third Party (TTP)
1972,5,113358098,51,511210,Information,2020-12-09,Internal - Trusted Third Party (TTP)
1973,2,7473,72,722511,Hospitality,2018-03-21,External - Hacktivist
1974,2163,33725,71,711310,Entertainment,2020-09-30,External - Nation State
1975,230,1084058,45,454110,Retail,2017-04-15,External - Criminal Organization
1976,0,0,61,611310,Education,2017-12-16,Internal - Organization
1977,54,1122,54,541211,Professional,2017-01-14,External - Former Consultant
1978,52,83632,33,334290,Manufacturing,2018-04-29,External - Former Consultant
1979,8,7731,44,444110,Retail,2015-09-14,External - Nation State
1980,0,0,33,339910,Manufacturing,2020-01-07,External - Hacktivist
1981,0,0,72,722511,Hospitality,2020-03-29,External - Other
1982,30,234,54,541810,Professional,2015-10-29,Internal - Consultant
1983,584,112716,61,611699,Education,2017-05-02,Internal - Other
1984,1,6149,52,522110,Financial,2014-10-14,External - Nation State
1985,3,79,52,523910,Financial,2020-02-22,External - Terrorist
1986,990,373613,54,541618,Professional,2013-06-26,Internal - Organization
1987,6805,2342,33,335999,Manufacturing,2018-08-16,External - Nation State
1988,3,284305,42,423450,Trade,2012-02-27,Internal - Trusted Third Party (TTP)
1989,6,752127,81,813110,Other,2011-04-01,External - Former Consultant
1990,18526,51678,42,423450,Trade,2015-08-05,Internal - Employee
1991,529,16243,54,541511,Professional,2018-08-20,Internal - Trusted Third Party (TTP)
1992,53,18298,33,334220,Manufacturing,2012-02-12,External - Other
1993,44,2208859,62,621111,Healthcare,2014-05-02,External - Former Consultant
1994,3,31606,92,921120,Public,2019-06-16,External - Former Employee
1995,0,0,52,522110,Financial,2020-10-12,Internal - Consultant
1996,5,953,52,522120,Financial,2013-10-02,Internal - Consultant
1997,9555,30689,44,446110,Retail,2011-07-12,External - Vendor
1998,6937,165086,54,541199,Professional,2018-11-02,Internal - Organization
1999,3,43819,51,519130,Information,2013-07-12,External - Other
2000,12,1340785,81,813319,Other,2016-12-18,Internal - Trusted Third Party (TTP)
2001,490,3075,72,721110,Hospitality,2017-06-10,External - Hacktivist
2002,10,11332,52,522320,Financial,2014-12-23,External - Terrorist
2003,2,44,56,561450,Administrative,2015-03-22,External - Terrorist
2004,31,104860,52,523910,Financial,2012-07-29,Internal - Trusted Third Party (TTP)
2005,0,0,92,922140,Public,2014-05-24,External - Other
2006,758,7541,54,541199,Professional,2012-08-18,Internal - Organization
2007,54,12639,54,541211,Professional,2017-09-14,Internal - Organization
2008,58,14036521,71,711410,Entertainment,2011-01-09,External - Former Employee
2009,25110,8230278,62,621111,Healthcare,2019-08-26,Internal - Trusted Third Party (TTP)
2010,40275,45481,92,921110,Public,2011-06-03,External - Former Employee
2011,45,51031,61,611110,Education,2014-12-01,External - Other
2012,5,372960,62,622210,Healthcare,2011-07-15,External - Other
2013,121,1400434,81,813990,Other,2020-04-14,External - Hacktivist
2014,0,0,52,524210,Financial,2012-09-21,External - Hacktivist
2015,28,4007012,52,522320,Financial,2018-07-30,NA
2016,17,66438,62,624190,Healthcare,2019-05-18,External - Hacktivist
2017,12,47652,81,811211,Other,2020-08-31,Internal - Trusted Third Party (TTP)
2018,806,101365,62,622110,Healthcare,2017-11-14,Internal - Consultant
2019,8,40030,61,611310,Education,2014-10-27,NA
2020,227438,33392,54,541611,Professional,2011-01-05,External - Vendor
2021,27148,280979,55,551112,Management,2012-03-13,NA
2022,52,1406538,NA,NA,NA,2019-04-23,External - Hacktivist
2023,39405,191005,56,561499,Administrative,2019-04-21,Internal - Organization
2024,349,3581,92,921190,Public,2012-07-18,External - Former Consultant
2025,330,2479,62,621111,Healthcare,2017-07-21,External - Other
2026,433,18006,NA,NA,NA,2018-08-29,External - Terrorist
2027,179,569,44,444130,Retail,2012-12-10,External - Former Employee
2028,2,213509,56,561990,Administrative,2011-05-13,External - Terrorist
2029,3,16064,54,541512,Professional,2016-12-13,External - Other
2030,363,715051,81,813212,Other,2020-08-24,External - Former Consultant
2031,24,19482,42,424310,Trade,2011-11-24,External - Terrorist
2032,54,980,56,561990,Administrative,2012-01-01,External - Terrorist
2033,2110,32011096,52,524210,Financial,2013-08-01,External - Other
2034,12508,19627,62,622110,Healthcare,2015-02-12,External - Other
2035,41955,3319920,62,622110,Healthcare,2015-08-30,External - Hacktivist
2036,133,700510,61,611310,Education,2011-01-24,External - Criminal Organization
2037,1410,2050292,62,621391,Healthcare,2019-07-02,External - Hacktivist
2038,1,7838,22,221118,Utilities,2016-03-23,External - Former Consultant
2039,3,143,62,622110,Healthcare,2013-03-10,Internal - Employee
2040,1,105687,61,611110,Education,2014-08-19,External - Terrorist
2041,948,1563854,56,561110,Administrative,2013-08-17,Internal - Consultant
2042,3,395134,92,921190,Public,2011-09-23,External - Other
2043,188,431471,61,611310,Education,2019-10-23,External - Terrorist
2044,11703,829870,54,541611,Professional,2018-07-17,Internal - Trusted Third Party (TTP)
2045,4,27073,56,561440,Administrative,2015-09-01,Internal - Trusted Third Party (TTP)
2046,43685,60514,92,921110,Public,2020-02-16,External - Terrorist
2047,1,1367,48,481219,Transportation,2020-05-20,Internal - Other
2048,3,136342,61,611110,Education,2016-12-30,External - Former Consultant
2049,0,0,61,611310,Education,2018-06-09,Internal - Consultant
2050,29,198597,54,541211,Professional,2013-01-26,Internal - Consultant
2051,5,4580,56,561990,Administrative,2014-02-08,Internal - Organization
2052,0,0,61,611310,Education,2017-10-11,External - Former Employee
2053,137,41081,56,561440,Administrative,2018-07-19,External - Vendor
2054,0,0,52,522220,Financial,2013-05-20,Internal - Other
2055,1,215,33,334516,Manufacturing,2012-06-30,NA
2056,0,0,48,485320,Transportation,2015-08-23,External - Hacktivist
2057,3903,254717,44,448140,Retail,2016-10-04,External - Vendor
2058,1,64110,NA,NA,NA,2013-11-04,Internal - Other
2059,735767,96541,53,531110,Real Estate,2013-06-27,External - Nation State
2060,0,0,54,541613,Professional,2019-10-28,Internal - Employee
2061,24,284,54,541110,Professional,2012-09-28,External - Hacktivist
2062,73,14247,52,525110,Financial,2015-09-25,External - Vendor
2063,16660,48471,71,713910,Entertainment,2015-04-26,Internal - Trusted Third Party (TTP)
2064,1,1466,42,424330,Trade,2014-10-17,External - Vendor
2065,0,0,52,523120,Financial,2017-08-12,Internal - Organization
2066,424,174863,45,453991,Retail,2017-06-29,Internal - Employee
2067,1248,3411457,62,621991,Healthcare,2016-05-11,Internal - Employee
2068,0,0,62,621111,Healthcare,2013-07-02,NA
2069,5,6899,54,541618,Professional,2014-04-23,External - Terrorist
2070,24686,115129382,55,551112,Management,2017-09-04,NA
2071,265,1717770,54,541511,Professional,2020-06-02,External - Terrorist
2072,0,0,54,541990,Professional,2013-02-16,External - Vendor
2073,26,2272881,44,445110,Retail,2014-05-02,Internal - Organization
2074,0,0,72,722320,Hospitality,2012-06-25,Internal - Trusted Third Party (TTP)
2075,68,30355,92,921110,Public,2013-04-27,Internal - Organization
2076,290,5757,62,622110,Healthcare,2015-04-30,External - Former Employee
2077,27,44686,72,722410,Hospitality,2018-11-28,NA
2078,1024,83189,56,561990,Administrative,2015-04-24,External - Terrorist
2079,176,29495407,32,325412,Manufacturing,2018-02-03,Internal - Consultant
2080,2,217244,52,523920,Financial,2020-06-23,External - Criminal Organization
2081,3,4775,48,488510,Transportation,2020-04-05,Internal - Trusted Third Party (TTP)
2082,92,77753,52,522110,Financial,2014-10-15,External - Terrorist
2083,12,7117,33,339920,Manufacturing,2012-09-19,NA
2084,0,0,54,541720,Professional,2011-10-12,External - Hacktivist
2085,0,0,62,621111,Healthcare,2012-08-09,Internal - Consultant
2086,15,11105,62,621111,Healthcare,2018-05-29,Internal - Trusted Third Party (TTP)
2087,0,0,44,448140,Retail,2018-04-14,Internal - Trusted Third Party (TTP)
2088,13,24420676,54,541860,Professional,2011-05-14,Internal - Organization
2089,72,65605,54,541219,Professional,2016-03-19,Internal - Consultant
2090,83,534439,48,485310,Transportation,2012-12-14,NA
2091,3,11210,52,524114,Financial,2020-06-24,Internal - Consultant
2092,59,178718,44,446110,Retail,2013-09-14,External - Nation State
2093,61,5418510,56,561440,Administrative,2013-05-06,NA
2094,8566,4002141,72,722513,Hospitality,2012-01-27,External - Terrorist
2095,219,47148,72,721110,Hospitality,2012-09-15,External - Vendor
2096,53,27642,92,921110,Public,2013-12-08,External - Terrorist
2097,2,31195,61,611110,Education,2011-07-01,External - Terrorist
2098,0,0,62,621610,Healthcare,2016-08-02,External - Former Employee
2099,0,0,61,611310,Education,2017-08-08,External - Nation State
2100,1,434,92,921110,Public,2012-06-26,External - Former Consultant
2101,0,0,62,623110,Healthcare,2017-07-18,Internal - Trusted Third Party (TTP)
2102,877,5237,NA,NA,NA,2018-07-29,External - Criminal Organization
2103,140555,8301791,92,922120,Public,2020-10-30,Internal - Other
2104,0,0,42,424510,Trade,2011-05-31,Internal - Employee
2105,1130,266612,42,424690,Trade,2013-01-15,NA
2106,64,180312,71,713950,Entertainment,2011-02-20,External - Former Employee
2107,326,601163,44,448190,Retail,2012-07-18,Internal - Other
2108,3,529,42,424920,Trade,2012-07-03,External - Hacktivist
2109,0,0,48,481111,Transportation,2016-10-05,External - Vendor
2110,223873,16918135,52,523120,Financial,2014-10-15,Internal - Trusted Third Party (TTP)
2111,12950,15350734,54,541513,Professional,2018-09-11,External - Other
2112,30,4352,54,541211,Professional,2020-12-31,Internal - Consultant
2113,3402,3211,52,522110,Financial,2019-06-01,External - Hacktivist
2114,24453,53293,61,611310,Education,2013-04-09,External - Former Employee
2115,54,184624,52,522130,Financial,2011-02-16,External - Vendor
2116,0,0,54,541618,Professional,2014-06-10,Internal - Trusted Third Party (TTP)
2117,4,42725,42,424510,Trade,2016-05-12,External - Criminal Organization
2118,589,897360,81,813910,Other,2015-06-30,NA
2119,10,5828636,62,621491,Healthcare,2019-04-14,Internal - Consultant
2120,0,0,62,623110,Healthcare,2014-06-19,Internal - Consultant
2121,23,101173,56,561990,Administrative,2018-03-24,External - Vendor
2122,1273,5021425,62,621112,Healthcare,2017-03-02,External - Hacktivist
2123,90,1025227,52,522110,Financial,2015-07-07,Internal - Consultant
2124,1626,523428,61,611110,Education,2017-09-04,Internal - Other
2125,10,141456,55,551112,Management,2012-03-28,External - Terrorist
2126,1156,3563845,72,721110,Hospitality,2014-10-26,External - Other
2127,0,0,31,312140,Manufacturing,2013-10-05,External - Vendor
2128,4,66510,33,334310,Manufacturing,2016-05-19,External - Vendor
2129,0,0,92,921190,Public,2013-02-26,NA
2130,3,41853,52,522120,Financial,2014-07-28,NA
2131,727,213857,53,531210,Real Estate,2013-01-19,External - Terrorist
2132,0,0,54,541618,Professional,2017-04-08,External - Former Employee
2133,87750,833625,62,621111,Healthcare,2012-04-13,External - Hacktivist
2134,86320,198990,72,722511,Hospitality,2020-07-02,Internal - Employee
2135,7363,3689713,56,561492,Administrative,2019-07-30,Internal - Trusted Third Party (TTP)
2136,13176,5251277,62,621111,Healthcare,2017-07-14,Internal - Other
2137,64,2100692,44,446110,Retail,2015-01-06,Internal - Trusted Third Party (TTP)
2138,8471,357786,23,236115,Construction,2014-12-05,External - Former Employee
2139,31,118146,56,561990,Administrative,2019-08-12,External - Former Consultant
2140,284,285695,81,813990,Other,2013-09-23,External - Terrorist
2141,1280,95029,61,611310,Education,2013-08-09,NA
2142,40,441804,53,531210,Real Estate,2013-12-13,External - Terrorist
2143,29,1312,54,541611,Professional,2012-01-04,External - Terrorist
2144,213283,852507,32,325211,Manufacturing,2014-08-03,Internal - Organization
2145,449,45308,54,541618,Professional,2013-07-09,Internal - Employee
2146,236,7917,52,522110,Financial,2015-02-04,Internal - Trusted Third Party (TTP)
2147,1111,48201,81,813910,Other,2012-09-13,External - Terrorist
2148,3,2294202,52,522310,Financial,2019-12-15,Internal - Trusted Third Party (TTP)
2149,12,110062,54,541512,Professional,2012-01-30,Internal - Trusted Third Party (TTP)
2150,0,0,33,334220,Manufacturing,2012-04-27,External - Former Consultant
2151,111,35794,54,541110,Professional,2014-12-27,Internal - Trusted Third Party (TTP)
2152,1593,1483963,52,522291,Financial,2016-07-22,NA
2153,6768,3569213,81,811111,Other,2015-12-25,NA
2154,0,0,52,524114,Financial,2013-12-25,External - Vendor
2155,290,230197,92,921110,Public,2012-07-18,External - Nation State
2156,146959,10530836,62,621210,Healthcare,2012-09-17,Internal - Trusted Third Party (TTP)
2157,0,0,52,524292,Financial,2016-04-14,External - Former Employee
2158,9,25959,44,441210,Retail,2013-11-07,Internal - Employee
2159,3,66705,54,541840,Professional,2016-11-18,External - Criminal Organization
2160,0,0,81,813319,Other,2012-11-16,External - Hacktivist
2161,3938,835971,33,331110,Manufacturing,2019-07-04,NA
2162,29,112230,62,622110,Healthcare,2018-09-02,External - Vendor
2163,24,42027747,54,541511,Professional,2020-03-18,External - Other
2164,854,8805,56,561612,Administrative,2017-08-31,External - Criminal Organization
2165,91,35609,62,621420,Healthcare,2011-02-25,External - Vendor
2166,392,35177,51,518210,Information,2012-03-14,Internal - Employee
2167,0,0,52,524298,Financial,2011-08-29,External - Other
2168,22,1128503,56,561510,Administrative,2018-05-01,External - Former Consultant
2169,177,503800,62,624190,Healthcare,2017-12-25,External - Former Consultant
2170,50,4153161,72,722513,Hospitality,2019-08-27,Internal - Consultant
2171,1030,370728,52,522110,Financial,2016-01-06,External - Nation State
2172,0,0,NA,NA,NA,2013-01-21,External - Former Consultant
2173,0,0,51,511130,Information,2018-06-04,External - Vendor
2174,894,49673,45,451130,Retail,2016-07-22,Internal - Trusted Third Party (TTP)
2175,18,198,61,611110,Education,2011-12-01,Internal - Consultant
2176,3205,6675,54,541511,Professional,2016-11-08,External - Former Consultant
2177,4639,251099,62,621111,Healthcare,2015-01-24,External - Nation State
2178,1,3656,51,517312,Information,2016-03-19,Internal - Other
2179,5,14606,54,541110,Professional,2018-02-09,Internal - Organization
2180,21,229656,53,532289,Real Estate,2018-04-15,External - Former Consultant
2181,1233,79940,52,523930,Financial,2011-06-04,NA
2182,173,34199,33,334413,Manufacturing,2019-08-19,External - Terrorist
2183,1,13990,55,551112,Management,2013-04-03,External - Vendor
2184,418,5077981,92,923110,Public,2016-01-21,External - Criminal Organization
2185,1,5088,56,561990,Administrative,2013-02-19,External - Criminal Organization
2186,12,4830,51,518210,Information,2019-09-21,External - Terrorist
2187,4,169885,61,611310,Education,2015-08-01,External - Other
2188,3,22500,51,511210,Information,2017-05-10,External - Vendor
2189,1122,307192,61,611110,Education,2012-11-09,External - Criminal Organization
2190,3592,424542,54,541110,Professional,2012-09-02,Internal - Employee
2191,537,33878,31,311421,Manufacturing,2016-06-22,External - Vendor
2192,5,37,55,551112,Management,2017-10-08,NA
2193,0,0,55,551112,Management,2012-01-09,External - Former Employee
2194,0,0,56,561110,Administrative,2020-01-25,External - Vendor
2195,1,208,44,446110,Retail,2014-09-21,Internal - Employee
2196,608,6708773,52,522110,Financial,2020-10-11,Internal - Other
2197,101,463617,55,551111,Management,2016-09-20,External - Hacktivist
2198,15999,47428,51,517311,Information,2014-04-16,Internal - Employee
2199,179,3139817,61,611110,Education,2015-12-31,External - Criminal Organization
2200,206,294123557,62,624190,Healthcare,2013-03-07,NA
2201,6,523973,54,541490,Professional,2011-08-28,Internal - Consultant
2202,145752,10062698,56,561990,Administrative,2018-12-07,Internal - Organization
2203,1980,2407758,51,511110,Information,2019-07-29,External - Vendor
2204,55,30462,62,622110,Healthcare,2019-10-25,External - Other
2205,1,10712,56,561990,Administrative,2011-01-12,Internal - Trusted Third Party (TTP)
2206,47,78249,61,611210,Education,2019-10-31,External - Criminal Organization
2207,2,63005,52,522291,Financial,2019-03-21,Internal - Trusted Third Party (TTP)
2208,128,590693,44,444130,Retail,2013-06-10,Internal - Other
2209,42,1488,53,532490,Real Estate,2018-08-22,Internal - Trusted Third Party (TTP)
2210,59,27000392,92,928120,Public,2014-08-24,Internal - Consultant
2211,136946,77889,61,611110,Education,2011-05-17,Internal - Employee
2212,113,238567,56,561510,Administrative,2012-04-05,External - Vendor
2213,549,740958,52,523910,Financial,2015-08-11,Internal - Organization
2214,28,46149,92,922120,Public,2015-03-22,Internal - Organization
2215,17,113393,52,524127,Financial,2014-11-28,NA
2216,0,0,62,624190,Healthcare,2017-10-07,Internal - Other
2217,867,66261,56,561510,Administrative,2019-12-11,External - Terrorist
2218,205,1218462,56,561612,Administrative,2017-04-07,Internal - Trusted Third Party (TTP)
2219,1430,986304,62,624190,Healthcare,2017-06-27,External - Nation State
2220,4,39926,NA,NA,NA,2019-07-22,External - Hacktivist
2221,113,2156714,61,611110,Education,2012-12-20,External - Terrorist
2222,0,0,62,622110,Healthcare,2017-07-04,External - Vendor
2223,159,110344,44,442210,Retail,2015-06-07,External - Hacktivist
2224,348,3044385,56,561990,Administrative,2012-09-10,External - Vendor
2225,1965,1015,NA,NA,NA,2014-10-25,External - Terrorist
2226,139,89374899,62,622310,Healthcare,2013-01-01,External - Other
2227,0,0,52,522110,Financial,2015-02-25,Internal - Trusted Third Party (TTP)
2228,944,289984,52,524210,Financial,2020-03-05,External - Former Employee
2229,24,101473,51,517312,Information,2019-03-26,Internal - Consultant
2230,104,474352,31,311999,Manufacturing,2019-03-13,External - Nation State
2231,1,144264,92,921110,Public,2020-08-29,External - Criminal Organization
2232,167,41273,62,622110,Healthcare,2016-07-26,External - Hacktivist
2233,116,13508,54,541511,Professional,2018-06-05,Internal - Consultant
2234,340687,94717,31,311920,Manufacturing,2014-02-10,Internal - Other
2235,16307,35475,56,561110,Administrative,2013-11-26,Internal - Organization
2236,325,9151,61,611310,Education,2014-10-29,External - Terrorist
2237,83347,153126280,62,622110,Healthcare,2020-08-18,External - Nation State
2238,10802,3574,62,621210,Healthcare,2013-06-06,External - Vendor
2239,0,0,52,522110,Financial,2013-10-04,External - Former Consultant
2240,23,21343,54,541512,Professional,2012-08-16,External - Other
2241,0,0,62,621410,Healthcare,2012-06-06,External - Vendor
2242,0,0,52,524210,Financial,2017-10-30,External - Other
2243,0,0,71,713940,Entertainment,2020-07-16,Internal - Trusted Third Party (TTP)
2244,6907,1563634,92,921190,Public,2016-11-10,Internal - Employee
2245,0,0,54,541820,Professional,2019-12-10,Internal - Consultant
2246,1,4704,92,921110,Public,2018-04-26,External - Vendor
2247,850,165253,42,423840,Trade,2019-04-14,External - Terrorist
2248,46,19367,62,622110,Healthcare,2012-11-16,Internal - Consultant
2249,0,0,92,921190,Public,2018-08-19,External - Former Consultant
2250,3,53027,45,453998,Retail,2013-10-15,Internal - Consultant
2251,134,706405,61,611310,Education,2014-05-08,Internal - Consultant
2252,91,178,54,541110,Professional,2015-03-27,Internal - Other
2253,4,230214,92,928110,Public,2016-11-18,External - Terrorist
2254,1,521,56,561990,Administrative,2014-02-25,Internal - Other
2255,1732,310883,51,517911,Information,2012-09-05,External - Vendor
2256,1,2741,52,522110,Financial,2019-04-18,External - Former Employee
2257,31,5656,54,541512,Professional,2016-09-27,Internal - Organization
2258,52554,253714,62,622210,Healthcare,2015-05-17,External - Terrorist
2259,13,418718,54,541219,Professional,2016-09-24,External - Terrorist
2260,0,0,92,921190,Public,2012-06-29,NA
2261,151,30491,45,451140,Retail,2016-07-01,External - Other
2262,529,12835,62,624190,Healthcare,2014-11-22,External - Former Consultant
2263,47,14075,92,921190,Public,2011-07-24,External - Hacktivist
2264,5,115601,56,561110,Administrative,2017-08-03,External - Terrorist
2265,737,2112892,44,444210,Retail,2016-05-29,External - Nation State
2266,0,0,62,622110,Healthcare,2015-06-23,Internal - Other
2267,43,199018,62,621111,Healthcare,2011-03-20,External - Former Consultant
2268,0,0,23,238220,Construction,2018-01-30,Internal - Consultant
2269,2,14,56,561740,Administrative,2018-05-31,Internal - Consultant
2270,31,4902262,81,812990,Other,2015-09-06,Internal - Organization
2271,96,28914,54,541512,Professional,2013-06-20,External - Criminal Organization
2272,4,8156,44,448140,Retail,2019-08-02,External - Criminal Organization
2273,133,30750,45,451110,Retail,2015-02-25,External - Former Consultant
2274,1,400,54,541512,Professional,2020-03-26,External - Criminal Organization
2275,21,386887,54,541611,Professional,2011-11-13,NA
2276,1,395420,42,424310,Trade,2016-07-04,External - Vendor
2277,2,1533566,92,921190,Public,2011-08-03,Internal - Organization
2278,58,14732,44,443142,Retail,2017-10-16,Internal - Trusted Third Party (TTP)
2279,245,70029,62,621420,Healthcare,2020-10-01,External - Other
2280,1147,3809100,32,324110,Manufacturing,2020-01-06,External - Nation State
2281,0,0,51,511210,Information,2019-11-13,Internal - Other
2282,3,1562182,56,561510,Administrative,2011-09-23,External - Nation State
2283,2,26930,62,621111,Healthcare,2017-10-13,Internal - Consultant
2284,53,29523,53,531210,Real Estate,2013-08-17,Internal - Organization
2285,14,16202,51,511130,Information,2018-03-24,Internal - Employee
2286,0,0,44,446110,Retail,2018-01-20,External - Criminal Organization
2287,21,90,62,622110,Healthcare,2015-06-06,Internal - Organization
2288,719,29183,45,451110,Retail,2018-01-30,Internal - Employee
2289,24,38305,52,523140,Financial,2018-07-23,External - Other
2290,111,6356,45,453220,Retail,2015-11-08,External - Hacktivist
2291,1,327,62,622110,Healthcare,2018-02-03,Internal - Organization
2292,0,0,61,611310,Education,2015-03-13,External - Criminal Organization
2293,96,1429796,42,423830,Trade,2018-08-23,External - Former Employee
2294,11475,73991,52,525910,Financial,2014-11-06,Internal - Organization
2295,0,0,42,423430,Trade,2020-11-04,Internal - Consultant
2296,86,77574,54,541715,Professional,2017-08-10,Internal - Employee
2297,255,126172,53,531210,Real Estate,2017-07-21,Internal - Employee
2298,143093,3694800,62,621111,Healthcare,2017-04-07,External - Terrorist
2299,1,10017,54,541511,Professional,2019-03-27,External - Former Consultant
2300,0,0,51,511210,Information,2015-08-29,Internal - Employee
2301,0,0,72,721110,Hospitality,2018-01-16,Internal - Trusted Third Party (TTP)
2302,1,44740,44,446110,Retail,2019-07-31,Internal - Other
2303,50891,21494940,56,561621,Administrative,2014-03-02,Internal - Trusted Third Party (TTP)
2304,115,2890,62,621610,Healthcare,2016-12-19,External - Criminal Organization
2305,1,3304961,52,524210,Financial,2015-01-02,Internal - Trusted Third Party (TTP)
2306,197,7719,52,523930,Financial,2018-02-09,Internal - Trusted Third Party (TTP)
2307,20,213597,61,611310,Education,2017-01-08,External - Terrorist
2308,1,3141652,53,531210,Real Estate,2011-12-02,External - Nation State
2309,57,13827,62,621111,Healthcare,2019-03-10,Internal - Other
2310,18484,698710,33,334310,Manufacturing,2015-03-18,External - Other
2311,285,984,92,921110,Public,2012-06-23,Internal - Organization
2312,799,345320,72,721110,Hospitality,2011-02-14,External - Former Consultant
2313,4,71100,71,711190,Entertainment,2012-08-03,Internal - Trusted Third Party (TTP)
2314,7,4995,54,541110,Professional,2011-02-25,Internal - Other
2315,29,50112,49,493110,Transportation,2012-07-03,External - Former Employee
2316,380,72696,92,921120,Public,2016-01-21,External - Former Consultant
2317,7,19000,52,522390,Financial,2019-07-08,External - Terrorist
2318,0,0,NA,NA,NA,2019-12-05,External - Terrorist
2319,63,693644,54,541213,Professional,2015-07-12,Internal - Employee
2320,356,117327,62,621111,Healthcare,2019-09-19,Internal - Organization
2321,7,44577,72,722511,Hospitality,2018-09-04,External - Former Employee
2322,0,0,81,813410,Other,2020-03-22,Internal - Other
2323,6101,2160729,42,424490,Trade,2015-04-19,Internal - Trusted Third Party (TTP)
